Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor/m2;Valor Bruto;Tipo Agregado
Apartamento;Ipanema;3;3;3;169;9000.0;2300.0;886.0;53.25;12186.0;Apartamento
Apartamento;Flamengo;4;2;2;423;12000.0;3795.0;1253.0;28.37;17048.0;Apartamento
Conjunto Comercial/Sala;Leblon;0;0;0;120;20000.0;2400.0;0.0;166.67;;Apartamento
Apartamento;Quintino Bocaiúva;2;0;0;67;900.0;320.0;0.0;13.43;;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;0;0;45;1100.0;1000.0;1.0;24.44;2101.0;Apartamento
Conjunto Comercial/Sala;Freguesia (Jacarepaguá);0;2;0;44;1500.0;949.0;52.0;34.09;2501.0;Apartamento
Apartamento;Leblon;3;1;0;74;3300.0;700.0;83.0;44.59;4083.0;Apartamento
Apartamento;Copacabana;2;0;0;110;2800.0;800.0;120.0;25.45;3720.0;Apartamento
Apartamento;Leme;1;0;0;31;1140.0;420.0;24.0;36.77;1584.0;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;36;1600.0;780.0;80.0;44.44;2460.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;2;1;90;1500.0;720.0;199.0;16.67;2419.0;Apartamento
Conjunto Comercial/Sala;Ipanema;0;0;0;32;1700.0;750.0;0.0;53.12;;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;3;0;108;5900.0;2424.0;0.0;54.63;;Apartamento
Casa;Santa Teresa;5;3;0;260;7000.0;0.0;163.0;26.92;;Casa
Apartamento;Barra da Tijuca;2;1;0;70;2400.0;1800.0;150.0;34.29;4350.0;Apartamento
Casa de Condomínio;Recreio dos Bandeirantes;4;3;4;198;4500.0;1160.0;3012.0;22.73;8672.0;Casa
Apartamento;Inhaúma;3;1;0;60;750.0;236.0;0.0;12.5;;Apartamento
Apartamento;Glória;1;0;0;48;1400.0;480.0;20.0;29.17;1900.0;Apartamento
Apartamento;Copacabana;5;1;1;400;8500.0;2160.0;365.0;21.25;11025.0;Apartamento
Apartamento;Ipanema;2;1;0;45;3000.0;575.0;25.0;66.67;3600.0;Apartamento
Apartamento;Pechincha;2;1;0;65;950.0;640.0;126.0;14.62;1716.0;Apartamento
Apartamento;Leblon;2;0;0;100;3800.0;900.0;195.0;38.0;4895.0;Apartamento
Apartamento;Grajaú;3;2;1;90;2950.0;700.0;100.0;32.78;3750.0;Apartamento
Conjunto Comercial/Sala;Campo Grande;0;1;0;20;700.0;273.0;75.0;35.0;1048.0;Apartamento
Conjunto Comercial/Sala;Campo Grande;0;1;0;25;1000.0;550.0;0.0;40.0;;Apartamento
Apartamento;Marechal Hermes;2;1;0;70;850.0;200.0;0.0;12.14;;Apartamento
Apartamento;Grajaú;1;0;0;30;800.0;283.0;187.0;26.67;1270.0;Apartamento
Apartamento;Praça Seca;2;1;1;63;1100.0;361.0;0.0;17.46;;Apartamento
Apartamento;Barra da Tijuca;3;2;2;480;15000.0;2750.0;650.0;31.25;18400.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;2;1;72;1580.0;900.0;140.0;21.94;2620.0;Apartamento
Apartamento;Laranjeiras;2;0;0;51;1900.0;450.0;25.0;37.25;2375.0;Apartamento
Apartamento;Botafogo;1;0;0;17;1100.0;330.0;15.0;64.71;1445.0;Apartamento
Apartamento;Botafogo;3;0;0;100;6050.0;1155.0;234.0;60.5;7439.0;Apartamento
Apartamento;Lagoa;2;1;1;90;2700.0;1350.0;250.0;30.0;4300.0;Apartamento
Apartamento;Lagoa;3;3;3;230;6000.0;4600.0;990.0;26.09;11590.0;Apartamento
Apartamento;Pechincha;2;1;1;62;1700.0;500.0;67.0;27.42;2267.0;Apartamento
Apartamento;Leblon;2;2;1;113;3500.0;1365.0;387.0;30.97;5252.0;Apartamento
Apartamento;Flamengo;1;0;0;49;1700.0;440.0;68.0;34.69;2208.0;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;54;2500.0;1200.0;1800.0;46.3;5500.0;Apartamento
Apartamento;Méier;1;0;0;53;900.0;484.0;37.0;16.98;1421.0;Apartamento
Apartamento;Vila Isabel;2;1;0;63;1300.0;500.0;0.0;20.63;;Apartamento
Conjunto Comercial/Sala;Méier;0;0;0;25;600.0;580.0;0.0;24.0;;Apartamento
Casa;Vila da Penha;1;0;0;40;850.0;0.0;0.0;21.25;;Casa
Quitinete;Copacabana;1;0;0;30;2600.0;500.0;0.0;86.67;;Apartamento
Quitinete;Copacabana;1;0;0;30;3200.0;400.0;50.0;106.67;3650.0;Apartamento
Quitinete;Centro;1;0;1;15;750.0;0.0;0.0;50.0;;Apartamento
Apartamento;Lagoa;3;3;1;250;11000.0;3500.0;889.0;44.0;15389.0;Apartamento
Apartamento;Humaitá;3;1;0;95;2300.0;1300.0;120.0;24.21;3720.0;Apartamento
Apartamento;Flamengo;1;0;0;37;2300.0;485.0;56.0;62.16;2841.0;Apartamento
Apartamento;Curicica;1;1;0;45;700.0;356.0;126.0;15.56;1182.0;Apartamento
Apartamento;Barra da Tijuca;2;1;0;90;2000.0;980.0;1600.0;22.22;4580.0;Apartamento
Apartamento;Barra da Tijuca;1;1;1;80;1700.0;980.0;250.0;21.25;2930.0;Apartamento
Casa;Vaz Lobo;1;0;0;35;400.0;0.0;0.0;11.43;;Casa
Apartamento;Barra da Tijuca;2;1;1;70;2200.0;1000.0;70.0;31.43;3270.0;Apartamento
Apartamento;Barra da Tijuca;4;3;1;190;5500.0;1600.0;435.0;28.95;7535.0;Apartamento
Conjunto Comercial/Sala;Del Castilho;0;1;0;29;1000.0;638.0;0.0;34.48;;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;10;0;1100;66000.0;30000.0;23786.0;60.0;119786.0;Apartamento
Apartamento;Copacabana;3;1;0;140;3500.0;1250.0;0.0;25.0;;Apartamento
Apartamento;Tijuca;1;1;1;87;1400.0;1057.0;162.0;16.09;2619.0;Apartamento
Apartamento;Barra da Tijuca;4;3;2;210;5300.0;2080.0;500.0;25.24;7880.0;Apartamento
Casa de Condomínio;Santíssimo;2;1;0;70;800.0;200.0;0.0;11.43;;Casa
