Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor/m2;Valor Bruto;Tipo Agregado
Apartamento;Leblon;3;2;3;135;13500.0;2266.0;500.0;100.0;16266.0;Apartamento
Apartamento;Leblon;4;2;1;210;15500.0;2575.0;590.0;73.81;18665.0;Apartamento
Apartamento;Tijuca;3;1;0;125;2500.0;1100.0;200.0;20.0;3800.0;Apartamento
Apartamento;Laranjeiras;2;0;0;88;2400.0;650.0;105.0;27.27;3155.0;Apartamento
Conjunto Comercial/Sala;Pechincha;0;0;0;30;650.0;280.0;58.0;21.67;988.0;Apartamento
Apartamento;Grajaú;2;0;0;51;1100.0;487.0;20.0;21.57;1607.0;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;33;2000.0;708.0;0.0;60.61;;Apartamento
Apartamento;Catete;1;0;0;39;1500.0;400.0;20.0;38.46;1920.0;Apartamento
Apartamento;Copacabana;2;1;0;100;2500.0;1222.0;151.0;25.0;3873.0;Apartamento
Apartamento;Rocha;3;0;0;72;1100.0;200.0;14.0;15.28;1314.0;Apartamento
Conjunto Comercial/Sala;Jacarepaguá;0;1;0;70;100.0;1700.0;190.0;1.43;1990.0;Apartamento
Apartamento;Leme;2;1;0;80;3800.0;1128.0;24.0;47.5;4952.0;Apartamento
Conjunto Comercial/Sala;Tijuca;0;0;0;55;1500.0;0.0;262.0;27.27;;Apartamento
Apartamento;Leblon;1;0;0;42;3200.0;550.0;260.0;76.19;4010.0;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;197;2800.0;1020.0;400.0;14.21;4220.0;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;50;800.0;927.0;168.0;16.0;1895.0;Apartamento
Apartamento;Centro;2;1;0;67;2100.0;680.0;0.0;31.34;;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;27;100.0;650.0;125.0;3.7;875.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;72;1600.0;971.0;0.0;22.22;;Apartamento
Apartamento;Leblon;4;1;0;138;7000.0;1500.0;0.0;50.72;;Apartamento
Apartamento;Barra da Tijuca;2;1;2;78;1700.0;982.0;183.0;21.79;2865.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;85;1900.0;1335.0;114.0;22.35;3349.0;Apartamento
Apartamento;Barra da Tijuca;4;1;1;205;4200.0;2537.0;468.0;20.49;7205.0;Apartamento
Apartamento;Copacabana;1;0;0;41;2800.0;407.0;68.0;68.29;3275.0;Apartamento
Apartamento;Barra da Tijuca;2;1;2;117;4000.0;1900.0;200.0;34.19;6100.0;Apartamento
Apartamento;Leblon;1;1;1;86;5500.0;1300.0;312.0;63.95;7112.0;Apartamento
Apartamento;Barra da Tijuca;4;2;1;156;5000.0;2261.0;0.0;32.05;;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;180;3500.0;1097.0;0.0;19.44;;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;2;1;230;1900.0;900.0;2000.0;8.26;4800.0;Apartamento
Apartamento;Ipanema;1;1;1;107;10000.0;2907.0;698.0;93.46;13605.0;Apartamento
Apartamento;Copacabana;2;1;0;75;2900.0;730.0;132.0;38.67;3762.0;Apartamento
Casa de Condomínio;Recreio dos Bandeirantes;4;3;2;340;8000.0;960.0;4250.0;23.53;13210.0;Casa
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;45;3000.0;880.0;1446.0;66.67;5326.0;Apartamento
Apartamento;Ipanema;3;2;1;147;7000.0;1050.0;250.0;47.62;8300.0;Apartamento
Apartamento;Península;4;2;2;150;6000.0;2000.0;0.0;40.0;;Apartamento
Apartamento;Barra da Tijuca;2;2;1;116;6000.0;3000.0;470.0;51.72;9470.0;Apartamento
Casa de Condomínio;Barra da Tijuca;4;3;3;622;9500.0;1380.0;1486.0;15.27;12366.0;Casa
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;36;1500.0;725.0;136.0;41.67;2361.0;Apartamento
Apartamento;Ipanema;3;2;1;300;12500.0;16845.0;406.0;41.67;29751.0;Apartamento
Apartamento;Copacabana;1;0;0;40;1600.0;630.0;70.0;40.0;2300.0;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;1;87;1800.0;800.0;200.0;20.69;2800.0;Apartamento
Apartamento;Ipanema;4;2;4;350;30000.0;5700.0;0.0;85.71;;Apartamento
Apartamento;Barra da Tijuca;2;1;1;90;2600.0;1000.0;242.0;28.89;3842.0;Apartamento
Apartamento;Leblon;3;1;1;120;13499.0;1459.0;370.0;112.49;15328.0;Apartamento
Apartamento;Quintino Bocaiúva;1;1;0;35;650.0;314.0;0.0;18.57;;Apartamento
Apartamento;Rio Comprido;2;0;0;65;1000.0;450.0;25.0;15.38;1475.0;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;0;0;27;1000.0;550.0;111.0;37.04;1661.0;Apartamento
Apartamento;Leblon;3;2;1;200;7500.0;3300.0;840.0;37.5;11640.0;Apartamento
Apartamento;Lagoa;2;2;1;98;3800.0;795.0;2765.0;38.78;7360.0;Apartamento
Casa;Campo Grande;1;0;0;50;550.0;0.0;0.0;11.0;;Casa
Apartamento;Barra da Tijuca;1;1;1;68;2200.0;1400.0;0.0;32.35;;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;90;1600.0;1021.0;155.0;17.78;2776.0;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;0;0;364;17500.0;0.0;0.0;48.08;;Apartamento
Apartamento;Barra da Tijuca;3;1;1;78;1900.0;1173.0;0.0;24.36;;Apartamento
Apartamento;Freguesia (Jacarepaguá);2;0;0;50;1000.0;265.0;17.0;20.0;1282.0;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;0;0;41;2600.0;0.0;0.0;63.41;;Apartamento
